order_weight_kg,distance_km,is_peak_hour,items_count,delivery_time_min
12.5,2.5,0,9,15.5
5.9,5.2,1,1,49.8
13.0,2.4,0,18,22.2
10.4,6.1,1,20,78.95
9.5,4.6,1,9,44.79
9.2,1.8,0,16,24.64
10.7,7.3,1,8,51.18
2.7,3.6,0,12,29.55
2.9,9.5,1,16,72.6
3.8,8.1,1,16,67.63
0.9,3.0,0,5,27.68
7.2,1.7,1,13,57.41
4.0,0.6,1,18,63.77
9.0,1.3,1,18,55.55
8.2,7.0,0,19,38.65
13.4,2.8,0,6,4.0
1.9,4.8,1,14,63.58
14.7,5.8,1,17,57.97
2.1,1.5,1,19,69.65
10.8,6.4,1,4,46.7
14.8,8.7,0,13,19.07
9.7,6.8,1,9,55.59
4.4,3.0,0,3,11.29
1.9,9.7,0,19,47.23
11.3,8.3,0,8,31.16
